id,answer,content_score,relevance_score,vocabulary_score,structure_score,overall_score,label
1,"I have been working as a junior accountant for about a year. I handle day to day bookkeeping and reconciliation tasks and I think your team can benefit from my attention to detail.",2,2,2,2,2.0,Average
2,"I have a diploma in mechanical engineering and have worked in maintenance of industrial equipment for two years. I understand preventive maintenance schedules.",2,2,2,2,2.0,Average
3,"I have experience in backend development using Node.js for about one and a half years. I have built APIs and worked with MongoDB in previous projects.",2,3,2,2,2.25,Average
4,"I come from a civil engineering background and have done a project on structural analysis using STAAD Pro software. I want to apply this knowledge in the field.",2,2,2,2,2.0,Average
5,"I have worked in business development for three years in a small IT company. I have experience generating leads and preparing proposals for clients.",2,3,2,2,2.25,Average
6,"I am transitioning from teaching to corporate training. I have five years of teaching experience and want to apply my facilitation skills in your L and D team.",2,2,2,2,2.0,Average
7,"I know Python and have done some data cleaning and visualization projects. I am looking to start my data analytics career with a company like yours.",2,2,2,2,2.0,Average
8,"I have done internship in supply chain management. I learned about procurement and vendor management. I want to grow in this field.",2,2,2,2,2.0,Average
9,"I have experience in front end development using React for about a year. I have worked on one production application and several college projects.",2,2,2,2,2.0,Average
10,"I have done my BBA and worked in a small startup for six months doing market research and competitor analysis. I am enthusiastic about marketing.",2,2,2,2,2.0,Average
11,"I have theoretical knowledge of machine learning algorithms from my college curriculum. I have done two projects on classification and regression problems.",2,2,2,2,2.0,Average
12,"I have three years of experience in talent acquisition. I have managed end to end recruitment for technology and non technology roles in my previous company.",2,3,2,2,2.25,Average
13,"I have completed my BE in ECE and done my internship at a telecom company where I worked on network configuration. I want to explore this field further.",2,2,2,2,2.0,Average
14,"I have some background in quality control from my internship at a manufacturing plant. I am familiar with ISO standards and inspection procedures.",2,2,2,2,2.0,Average
15,"I have been doing part time content work for social media clients while finishing my degree. I understand what kind of content drives engagement.",2,2,2,2,2.0,Average
16,"I have done projects in embedded systems and IoT during my engineering. I am looking for opportunities to work on real products in an R and D environment.",2,2,2,2,2.0,Average
17,"I have three years of experience in logistics coordination. I handle shipment tracking vendor communication and documentation on a daily basis.",2,3,2,2,2.25,Average
18,"I have done my MCA and have worked on one live project using Django. I want to grow as a full stack developer in your organization.",2,2,2,2,2.0,Average
19,"I have experience in financial modeling and have done valuation projects as part of my CFA preparation. I believe this skill can help your research team.",2,2,3,2,2.25,Average
20,"I have basic knowledge of product management concepts from an online course. I want to transition from my current engineering role to product development.",2,2,2,2,2.0,Average
21,"I am a marketing graduate and have done live campaigns for two college fests. I understand consumer behavior and campaign execution at a basic level.",2,2,2,2,2.0,Average
22,"I have worked as a freelancer in web development for one year. I know WordPress and basic PHP and have delivered five projects to clients.",2,2,2,2,2.0,Average
