id,answer,content_score,relevance_score,vocabulary_score,structure_score,overall_score,label
1,"I recently graduated with a degree in Computer Science. During my studies I learned Java and Python and built a simple library management system. I am looking for a role where I can grow my skills.",3,4,3,4,3.40,Good
2,"Hi I have a bachelors in IT. I know HTML CSS and Javascript and I created a personal portfolio website. I want to get a job as a frontend web developer.",4,4,3,3,3.60,Good
3,"I am a software engineering student in my final year. I have strong skills in C++ and data structures. I am looking for an internship to get some industry experience.",3,4,4,3,3.50,Good
4,"Hello my name is Rohit and I am a software developer. I have one year of experience working with React. I want to build better user interfaces and learn backend technologies.",4,3,4,3,3.60,Good
5,"I just finished my diploma in computer applications. I am familiar with basic database management using SQL. I hope to join a good company to start my career.",4,3,3,4,3.50,Good
6,"I studied computer science at university. I like coding in Python. I am seeking a fresher job in software development.",3,3,4,3,3.25,Good
7,"I am a junior backend developer with a year of experience in Node.js. I worked on building REST APIs for a mobile app. My goal is to become a full stack developer.",4,4,4,3,3.85,Good
8,"I am an engineering graduate with a focus on web technologies. I built an e-commerce clone using MERN stack. I am looking forward to applying my knowledge in a real work environment.",3,4,4,4,3.65,Good
9,"I have been learning software development for the past two years. I mostly use Ruby on Rails and I have a few projects on GitHub. I want to join a fast paced startup.",4,4,3,4,3.75,Good
10,"I am a recent IT graduate. I have good knowledge of Python and SQL. I did a mini project on employee management. I want to start my career as a backend developer.",3,4,3,4,3.40,Good
11,"I am a data analyst fresher. I know Excel and Tableau very well. I recently analyzed a retail dataset for my college project. I want to help businesses make data driven decisions.",4,4,3,3,3.60,Good
12,"My background is in mathematics and statistics. I taught myself Python for data analysis. I am looking for an entry level data role.",3,4,4,3,3.50,Good
13,"I have a masters in data science. I have done several academic projects using machine learning algorithms. I aim to work as a junior data scientist.",4,3,4,3,3.60,Good
14,"Hello I am a business analytics graduate. I have experience with SQL and PowerBI from my summer internship. I want to solve real business problems using data.",4,3,3,4,3.50,Good
15,"I studied statistics in college. I am good at finding trends in data using Excel. I am looking for my first job in analytics.",3,3,4,3,3.25,Good
16,"I am a junior data analyst with six months of internship experience. I created dashboards for the sales team. My goal is to master Python and advanced analytics.",4,4,4,3,3.85,Good
