id,answer,content_score,relevance_score,vocabulary_score,structure_score,overall_score,label
1,I have basic knowledge of Python and I am willing to learn new technologies as needed. I completed my graduation in computer science and have done one internship.,2.0,2.0,2.0,2.0,2.0,Average
2,I have worked in sales for two years and I understand how to meet targets. I am also good at building relationships with clients.,2.0,3.0,2.0,2.0,2.25,Average
3,I have done my MBA and I have knowledge of marketing concepts like digital marketing and brand management. I want to apply this in a real environment.,2.0,2.0,2.0,2.0,2.0,Average
4,I have some experience in data entry and working with Excel. I can handle large spreadsheets and I pay attention to accuracy in my work.,2.0,2.0,2.0,2.0,2.0,Average
5,I have completed my civil engineering and have done a project on construction planning. I think I can contribute to your infrastructure projects.,2.0,2.0,2.0,2.0,2.0,Average
6,I have been working in accounts for one and a half years. I know Tally and basic accounting principles. I think your finance team could use someone like me.,2.0,2.0,2.0,2.0,2.0,Average
7,I am a fresher from IT background. I have done projects using Java and have good understanding of object oriented programming. I want to develop my skills here.,2.0,2.0,2.0,2.0,2.0,Average
8,I have done an internship at a startup where I worked on social media marketing. I understand content creation and analytics to some extent.,2.0,2.0,2.0,2.0,2.0,Average
9,I have experience in customer support for two years. I know how to handle difficult customers and resolve issues in a calm and professional way.,2.0,3.0,2.0,2.0,2.25,Average
10,I have done my mechanical engineering and have theoretical knowledge of manufacturing processes. I also did a project on lean manufacturing in college.,2.0,2.0,2.0,2.0,2.0,Average
11,I have cleared my chartered accountancy exams and I have completed articleship from a reputed firm. I can bring value to your finance division.,2.0,2.0,2.0,2.0,2.0,Average
12,I have some experience in content writing and SEO. I have written blogs and done keyword research for a small agency for about a year.,2.0,2.0,2.0,2.0,2.0,Average
13,I know SQL and have done some data analysis as part of my college projects. I am interested in working in your analytics team and growing from there.,2.0,2.0,2.0,2.0,2.0,Average
14,I have a background in electronics and communication. I have done a project on embedded systems and feel that your hardware team will be a good fit for me.,2.0,2.0,2.0,2.0,2.0,Average
15,I have been doing freelance graphic design for two years. I know tools like Canva and basic Photoshop and I think I can contribute to your design team.,2.0,2.0,2.0,2.0,2.0,Average
16,I have done a short course in digital marketing and worked on a few campaigns as an intern. I know Google Ads and Facebook Ads at a basic level.,2.0,2.0,2.0,2.0,2.0,Average
17,I have some experience in HR operations. I have done recruitment and onboarding for a small company. I am familiar with the whole hiring process.,2.0,2.0,2.0,2.0,2.0,Average
18,I have completed my engineering in electronics and did my final year project on signal processing. I want to work in R and D and contribute to innovation.,2.0,2.0,2.0,2.0,2.0,Average
19,I have basic knowledge of C and C plus plus. I have worked on small coding projects and I am willing to work hard to meet your technical requirements.,2.0,2.0,2.0,2.0,2.0,Average
20,I have spent three years in operations in a manufacturing company. I know how to coordinate between teams and keep things running on schedule.,2.0,3.0,2.0,2.0,2.25,Average
21,I have done two internships in software testing. I know manual testing and have some exposure to automation with Selenium. I can join your QA team.,2.0,2.0,2.0,2.0,2.0,Average
22,I am a fresh graduate in commerce and I have done a project on financial analysis. I want to build my career in the finance sector with your company.,2.0,2.0,2.0,2.0,2.0,Average
23,I have four years of experience in retail management. I know how to manage store operations and handle a team of twelve people.,2.0,2.0,2.0,2.0,2.0,Average
24,I have done my BCA and know web development basics like HTML CSS and JavaScript. I have built a few small websites during college.,2.0,2.0,2.0,2.0,2.0,Average
25,I have recently completed my MBA in HR and done an internship where I supported performance appraisal processes. I am keen to contribute to your people function.,2.0,2.0,2.0,2.0,2.0,Average
26,I have been working as a junior accountant for about a year. I handle day to day bookkeeping and reconciliation tasks and I think your team can benefit from my attention to detail.,2.0,2.0,2.0,2.0,2.0,Average
27,I have a diploma in mechanical engineering and have worked in maintenance of industrial equipment for two years. I understand preventive maintenance schedules.,2.0,2.0,2.0,2.0,2.0,Average
28,I have experience in backend development using Node.js for about one and a half years. I have built APIs and worked with MongoDB in previous projects.,2.0,3.0,2.0,2.0,2.25,Average
29,I come from a civil engineering background and have done a project on structural analysis using STAAD Pro software. I want to apply this knowledge in the field.,2.0,2.0,2.0,2.0,2.0,Average
30,I have worked in business development for three years in a small IT company. I have experience generating leads and preparing proposals for clients.,2.0,3.0,2.0,2.0,2.25,Average
31,I am transitioning from teaching to corporate training. I have five years of teaching experience and want to apply my facilitation skills in your L and D team.,2.0,2.0,2.0,2.0,2.0,Average
32,I know Python and have done some data cleaning and visualization projects. I am looking to start my data analytics career with a company like yours.,2.0,2.0,2.0,2.0,2.0,Average
33,I have done internship in supply chain management. I learned about procurement and vendor management. I want to grow in this field.,2.0,2.0,2.0,2.0,2.0,Average
34,I have experience in front end development using React for about a year. I have worked on one production application and several college projects.,2.0,2.0,2.0,2.0,2.0,Average
35,I have done my BBA and worked in a small startup for six months doing market research and competitor analysis. I am enthusiastic about marketing.,2.0,2.0,2.0,2.0,2.0,Average
36,I have theoretical knowledge of machine learning algorithms from my college curriculum. I have done two projects on classification and regression problems.,2.0,2.0,2.0,2.0,2.0,Average
37,I have three years of experience in talent acquisition. I have managed end to end recruitment for technology and non technology roles in my previous company.,2.0,3.0,2.0,2.0,2.25,Average
38,I have completed my BE in ECE and done my internship at a telecom company where I worked on network configuration. I want to explore this field further.,2.0,2.0,2.0,2.0,2.0,Average
39,I have some background in quality control from my internship at a manufacturing plant. I am familiar with ISO standards and inspection procedures.,2.0,2.0,2.0,2.0,2.0,Average
40,I have been doing part time content work for social media clients while finishing my degree. I understand what kind of content drives engagement.,2.0,2.0,2.0,2.0,2.0,Average
41,I have done projects in embedded systems and IoT during my engineering. I am looking for opportunities to work on real products in an R and D environment.,2.0,2.0,2.0,2.0,2.0,Average
42,I have three years of experience in logistics coordination. I handle shipment tracking vendor communication and documentation on a daily basis.,2.0,3.0,2.0,2.0,2.25,Average
43,I have done my MCA and have worked on one live project using Django. I want to grow as a full stack developer in your organization.,2.0,2.0,2.0,2.0,2.0,Average
44,I have experience in financial modeling and have done valuation projects as part of my CFA preparation. I believe this skill can help your research team.,2.0,2.0,3.0,2.0,2.25,Average
45,I have basic knowledge of product management concepts from an online course. I want to transition from my current engineering role to product development.,2.0,2.0,2.0,2.0,2.0,Average
46,I am a marketing graduate and have done live campaigns for two college fests. I understand consumer behavior and campaign execution at a basic level.,2.0,2.0,2.0,2.0,2.0,Average
47,I have worked as a freelancer in web development for one year. I know WordPress and basic PHP and have delivered five projects to clients.,2.0,2.0,2.0,2.0,2.0,Average
48,I have completed my nursing degree and want to shift to the healthcare administration side. I understand hospital workflows and patient documentation.,2.0,2.0,2.0,2.0,2.0,Average
49,I have some experience in event coordination from my previous company. I managed vendor bookings and logistics for internal corporate events.,2.0,2.0,2.0,2.0,2.0,Average
50,I have been learning data science through an online bootcamp and have done three projects on my own. I am now looking for an entry level position.,2.0,2.0,2.0,2.0,2.0,Average
51,I have worked in a BPO for two years handling inbound customer queries. I am now looking for a more specialized role in your customer success team.,2.0,2.0,2.0,2.0,2.0,Average
52,I have completed my BA in economics and have knowledge of macroeconomic concepts. I want to apply this knowledge in research or policy analysis work.,2.0,2.0,2.0,2.0,2.0,Average
53,I have one year of experience as a junior developer working mainly in testing and bug fixing. I want to move into full development with your team.,2.0,2.0,2.0,2.0,2.0,Average
54,I have done multiple internships in different areas including HR and operations. I am a generalist who can add value across departments.,2.0,2.0,2.0,2.0,2.0,Average
55,I have a background in civil engineering with experience in AutoCAD and project drawings. I have done site visits as part of my internship.,2.0,2.0,2.0,2.0,2.0,Average
56,I have done a UX design course and created wireframes for three mobile apps as portfolio projects. I am now looking for a junior designer role.,2.0,2.0,2.0,2.0,2.0,Average
