id,answer,content_score,relevance_score,vocabulary_score,structure_score,overall_score,label
1,"Hi, I am Rahul. I graduated with a BA recently. I don't have much experience yet. I like playing cricket in my free time.",2,3,3,2,2.50,Average
2,"Hello, my name is Priya. I completed my BSc last year. I am looking for a job to learn. I enjoy watching movies.",2,3,3,2,2.50,Average
3,"I am Amit. I hold a BCom degree. I don't have any projects to show. I spend my weekends listening to music.",2,3,3,2,2.50,Average
4,"Good morning, I am Sneha. I did my BTech in civil. I am fresh out of college. My hobby is reading books.",2,3,3,2,2.50,Average
5,"Hi there, I am Vikram. I passed my 12th standard exams recently. I am searching for basic work. I like traveling.",2,3,3,2,2.50,Average
6,"My name is Neha. I have a Diploma in mechanical engineering. I want to start earning. I enjoy cooking at home.",2,3,3,2,2.50,Average
7,"Hello, I am Karan. I graduated with a BCA. I have no professional background. I like playing chess with friends.",2,3,3,2,2.50,Average
8,"I am Sunita. I completed my MBA recently. I haven't done any internships. I usually spend time singing.",2,3,3,2,2.50,Average
9,"Hi, my name is Anil. I hold an MA degree in history. I am looking for an office job. I enjoy dancing.",2,3,3,2,2.50,Average
10,"Good morning, I am Ritu. I passed my ITI course. I don't have practical experience. I like playing video games.",2,3,3,2,2.50,Average
11,"Hello sir, I am Deepak. I have a BBA. I am just looking for an entry level position. My hobby is photography.",2,3,3,2,2.50,Average
12,"I am Kavita. I graduated with an MSc in chemistry. I am seeking my first job. I like painting in my spare time.",2,3,3,2,2.50,Average
13,"Hi, I am Suresh. I did my MCom. I have been preparing for exams. I like playing cricket on Sundays.",2,3,3,2,2.50,Average
14,"My name is Anita. I hold a BA in sociology. I am looking to start my career. I enjoy watching movies.",2,3,3,2,2.50,Average
15,"Hello, I am Vivek. I completed my BSc in physics. I have no work history. I listen to music to relax.",2,3,3,2,2.50,Average
16,"I am Nidhi. I graduated with a BCom degree. I am ready to work hard. I like reading books a lot.",2,3,3,2,2.50,Average
17,"Good afternoon, I am Tarun. I have a BTech in IT. I am looking for a fresher role. My hobby is traveling.",2,3,3,2,2.50,Average
18,"Hi, my name is Meena. I passed my 12th pass exams. I want a basic job. I enjoy cooking for my family.",2,3,3,2,2.50,Average
19,"I am Sanjay. I hold a Diploma in electronics. I don't have an internship. I like playing chess.",2,3,3,2,2.50,Average
20,"Hello, I am Pooja. I completed my BCA. I am looking for any suitable opportunity. I enjoy singing.",2,3,3,2,2.50,Average
21,"Myself Rohan. I done my BBA. I know MS Word little bit. My hobby are playing video games.",3,3,2,2,2.60,Average
22,"Hi sir, myself Simran. I complete my MBA. I have learn Excel. I like photography.",3,3,2,2,2.60,Average
23,"Good morning. I am Ajay. I did MA. I knowing typing. I painting in free time.",3,3,2,2,2.60,Average
24,"Myself Rekha. I finish my MCom. I know Tally software. I play cricket.",3,3,2,2,2.60,Average
25,"I am Manoj. I done BA. I have learn basic computer. My hobby are watching movies.",3,3,2,2,2.60,Average
26,"Hello. Myself Kiran. I pass BSc. I know HTML little bit. I listen music.",3,3,2,2,2.60,Average
27,"Myself Ramesh. I complete BCom. I have accounting knowledge. I reading books.",3,3,2,2,2.60,Average
28,"Hi, I am Swati. I did BTech. I know Java language. My hobby are traveling.",3,3,2,2,2.60,Average
29,"Good morning sir. Myself Akash. I finish 12th pass. I doing data entry. I like cooking.",3,3,2,2,2.60,Average
30,"I am Divya. I done Diploma. I know AutoCAD. I playing chess.",3,3,2,2,2.60,Average
31,"Myself Sunil. I complete BCA. I have learn Python. My hobby are singing.",3,3,2,2,2.60,Average
