id,answer,content_score,relevance_score,vocabulary_score,structure_score,overall_score,label
1,"I am a software engineer with three years of experience specializing in backend development. I graduated with a degree in Computer Science from NIT where I built a solid foundation in algorithms. Over the past few years, I have worked primarily with Java and Spring Boot, successfully migrating a legacy system to microservices which improved our processing time by thirty percent. I also led a small team of interns on an internal dashboard project. Moving forward, I am looking to bring my system design skills to a challenging senior role where I can contribute to scalable cloud architecture.",4,5,4,5,4.40,Excellent
2,"My professional journey started in civil engineering, graduating top of my class with a focus on structural design. I spent the last two years at a mid-sized firm using AutoCAD and Revit to design commercial complexes. One of my proudest achievements was optimizing a bridge load distribution model that saved the client nearly ten percent in material costs. Beyond my core structural skills, I recently learned Python to automate some of our drafting workflows. I am currently seeking a role at a forward-thinking firm where I can blend my engineering expertise with computational design.",5,4,4,4,4.35,Excellent
3,"For the past four years, I have been working as a data analyst in the e-commerce sector. I hold an MBA in Business Analytics and a B.Tech in IT. My core skills include SQL, Python, and Tableau. At my current company, I built a customer segmentation model that directly contributed to a fifteen percent increase in targeted email conversion rates. I also regularly present data insights to stakeholders to drive product decisions. I am now looking to transition into a Data Scientist position where I can leverage my predictive modeling skills on a larger scale.",5,5,4,4,4.60,Excellent
4,"I recently graduated with a degree in Mechanical Engineering and have a strong passion for automotive design. During my time at university, I was the lead powertrain engineer for our Formula SAE team, where we designed and manufactured a race car from scratch. This project taught me a lot about CAD, thermodynamics, and team collaboration under tight deadlines. I also completed a six-month internship at Tata Motors, focusing on HVAC system optimization. I am eager to bring my hands-on experience and passion for vehicle dynamics to an entry-level design engineering role.",4,4,5,4,4.25,Excellent
5,"I am a self-taught front-end developer with a background in graphic design. After spending three years creating UI layouts, I realized I wanted to build the applications I was designing. I spent the last eighteen months mastering HTML, CSS, JavaScript, and React. I have since launched three full-stack freelance projects, including a booking platform for a local clinic that increased their daily appointments by twenty percent. My design background gives me a unique perspective on user experience, and I am looking for a full-time React developer role where I can bridge the gap between design and engineering.",5,4,5,5,4.75,Excellent
6,"I have been a Quality Assurance engineer for over five years, focusing mostly on automated testing frameworks. I graduated with a Bachelor's in Information Technology. Over my career, I've built automation pipelines from scratch using Selenium and Cypress, integrating them into CI/CD pipelines which reduced our deployment regression bugs by half. I am particularly proud of mentoring two junior testers last year and helping them transition from manual to automated testing. I'm currently looking for a QA Lead position where I can drive quality strategy across multiple product teams.",4,5,4,5,4.40,Excellent
7,"I am a digital marketing specialist with a knack for data-driven campaigns. I hold a Bachelor's degree in Communications and have spent the last three years working at a boutique digital agency. My expertise lies in SEO, Google Ads, and content strategy. Recently, I spearheaded a campaign for a fintech client that resulted in a forty percent increase in organic traffic over six months. I love blending creativity with analytics to see what truly engages an audience. My goal now is to bring my agency experience to an in-house marketing team in the tech sector.",5,4,4,4,4.35,Excellent
8,"I am a Product Associate with two years of experience bridging the gap between engineering and customer success. I started my career as a customer support representative, which gave me deep empathy for user pain points. I transitioned into product management by taking initiative on a feature request backlog, eventually helping to launch a self-service portal that reduced support tickets by twenty-five percent. I'm skilled in Agile methodologies, Jira, and basic SQL for product analytics. I am looking to step into a formal Product Manager role to continue building user-centric solutions.",5,5,4,4,4.60,Excellent
9,"I'm a recent Computer Science graduate with a strong interest in cybersecurity. During my studies, I focused heavily on network security and cryptography, maintaining a 3.8 GPA. I completed an internship as a SOC analyst where I gained hands-on experience monitoring SIEM alerts and triaging potential threats. My capstone project was an automated vulnerability scanner that I built using Python and bash scripting. I recently obtained my Security+ certification and am very excited to start my career as a junior security analyst in an environment where I can continuously learn.",4,4,5,4,4.25,Excellent
10,"With over six years of experience in supply chain management, I consider myself a highly analytical operations professional. I have a Master's degree in Supply Chain Logistics. At my current job, I manage vendor relations and inventory forecasting using SAP. Last year, I renegotiated three major supplier contracts, cutting our procurement costs by twelve percent without sacrificing quality. I have a track record of identifying process bottlenecks and implementing lean methodologies. I am seeking a senior operations role where I can lead cross-functional teams to improve global supply chain efficiency.",5,4,5,5,4.75,Excellent
11,"I am a full-stack developer with five years of experience, specializing in the MERN stack. I hold a B.Tech in Electronics but taught myself coding out of pure passion. I currently work at a mid-sized fintech startup where I developed the core transaction processing module that handles over ten thousand requests daily. I also introduced a peer code-review process that significantly improved our codebase maintainability. I thrive in fast-paced environments and am looking for a senior developer role where I can architect scalable web applications and mentor junior developers.",4,5,4,5,4.40,Excellent
12,"I'm an HR professional focused on talent acquisition and employee engagement, with three years of industry experience. After completing my MBA in Human Resources, I joined a fast-growing IT consultancy. I've successfully managed end-to-end recruitment for technical roles, reducing time-to-hire by fifteen days. Furthermore, I launched a monthly employee wellness initiative that improved our retention rate by ten percent over a year. I pride myself on understanding both business needs and candidate psychology. I am looking for a Talent Acquisition Lead role to help scale a growing tech company.",5,4,4,4,4.35,Excellent
13,"My background is in electrical engineering, and I have spent the last two years working on renewable energy projects. I hold a degree in Electrical and Electronics Engineering. My primary role has been designing solar PV arrays for commercial buildings, utilizing software like PVsyst and AutoCAD. A major highlight was leading the electrical design for a 2-megawatt rooftop installation, ensuring compliance with local grid codes. I am deeply passionate about sustainability and am looking for a role where I can continue to develop clean energy solutions on a larger scale.",5,5,4,4,4.60,Excellent
