id,answer,content_score,relevance_score,vocabulary_score,structure_score,overall_score,label
1,"I'm Arjun, currently Data Analyst with 2+ years experience in Delhi. My professional expertise encompasses Statistics, Node.js, Scala, and Java. I've led the conception and deployment of Task management tool, achieving received 5-star reviews from stakeholders. Simultaneously, I developed Restaurant management system, which grew user base to 50,000 active users. I also spearheaded Expense management system, resulting in achieved 98% accuracy in predictions. My commitment to continuous learning has made me proficient in Data Analysis. I'm recognized for my ability to translate complex requirements into elegant solutions. My career objective is to become a Tech Lead, where I can scale my impact and mentor emerging talent.",5,5,4,5,4.75,Excellent
2,"My name is Vikram. I'm a Product Manager from Delhi with deep expertise in Communication Skills, Problem Solving, and JavaScript. My career highlights include leading Real-time Chat application which mentored 5+ junior developers, architecting Task management tool that increased system efficiency by 40%, and spearheading Customer analytics platform which handled 100,000 daily active users. I bring additional competency in Big Data and Java, ensuring comprehensive technical excellence. My approach combines technical rigor with strategic thinking. I'm committed to becoming a Solutions Architect, where I can leverage my comprehensive skill set to drive organizational excellence and innovation.",5,5,4,5,4.75,Excellent
3,"Hi, I'm Aisha, a Masters in Business Administration from Ahmedabad. I excel in TensorFlow, Docker, and HTML/CSS. My portfolio includes three standout projects: Restaurant management system, where I received recognition and promotion, Enterprise E-commerce platform which mentored 5+ junior developers, and IoT sensor network, delivering saved company $500K annually. These experiences have solidified my expertise in Tableau and Git. I'm passionate about collaborative problem-solving and have consistently delivered results that exceed expectations. My vision for the future is to work as a VP Engineering, where I can drive innovation at scale and shape industry standards.",5,5,5,4,4.85,Excellent
4,"My name is Megha. I'm a Quality Assurance Lead from Gurugram with deep expertise in Scala, Leadership, and HTML/CSS. My career highlights include leading Real-time Chat application which reduced processing time by 50%, architecting Web scraping tool that received 5-star reviews from stakeholders, and spearheading Real estate portal which established industry best practices. I bring additional competency in Data Analysis and Communication Skills, ensuring comprehensive technical excellence. My approach combines technical rigor with strategic thinking. I'm committed to becoming a VP Engineering, where I can leverage my comprehensive skill set to drive organizational excellence and innovation.",5,4,4,5,4.5,Excellent
5,"I'm Nisha, a Analytics professional based in Delhi. My skillset includes Git, C++, TensorFlow, and HTML/CSS. I've successfully led Enterprise E-commerce platform, resulting in completed 2 months ahead of schedule, and Hospital management system, which implemented enterprise-grade security standards. My work on Data visualization dashboard delivered established industry best practices. I'm additionally skilled in AWS and possess a systematic approach to complex problem-solving. I'm driven to evolve into a Senior Software Engineer role, where I can apply my depth of experience to drive product excellence and organizational growth.",5,4,4,5,4.5,Excellent
6,"Hello, I'm Varun, a Fresh graduate from top institute with a track record of excellence in Ahmedabad. I've built strong proficiency in SQL, Statistics, and Problem Solving. Over my career, I've successfully completed ML classification model which reduced processing time by 50%, Inventory management system resulting in optimized database performance by 60%, and Enterprise E-commerce platform which achieved 98% accuracy in predictions. My work has consistently demonstrated value, earning recognition from stakeholders. I'm competent in Excel and Leadership, with a systematic approach to technical challenges. I'm enthusiastic about transitioning into a Senior Software Engineer role, where I can apply my technical depth and leadership skills to drive strategic initiatives.",5,4,4,5,4.5,Excellent
7,"My name is Rahul. I'm a Data Analyst with 2+ years experience from Mumbai with deep expertise in C++, Tableau, and AWS. My career highlights include leading Enterprise E-commerce platform which improved user experience significantly with 98% satisfaction, architecting Expense management system that implemented enterprise-grade security standards, and spearheading IoT sensor network which grew user base to 50,000 active users. I bring additional competency in Agile and Communication, ensuring comprehensive technical excellence. My approach combines technical rigor with strategic thinking. I'm committed to becoming a Solutions Architect, where I can leverage my comprehensive skill set to drive organizational excellence and innovation.",5,5,5,5,5.0,Excellent
8,"Hello, I'm Nisha, a Senior Business Analyst from Kolkata. I have a strong foundation in Python, HTML/CSS, and Data Analysis. Throughout my career, I've successfully led multiple impactful projects. My flagship project Real-time Chat application saved company $500K annually and currently serves thousands of users. Additionally, I developed Task management tool which achieved 98% accuracy in predictions. I've also contributed to Hospital management system where I grew user base to 50,000 active users. My technical expertise extends to Big Data and Communication. I'm passionate about Principal Engineer and continuously seek opportunities to innovate and lead high-performing teams. I'm excited to bring my experience and vision to your organization.",5,5,5,5,5.0,Excellent
9,"I'm Divya, currently Quality Assurance Lead in Chennai. My professional expertise encompasses AWS, SQL, Statistics, and Node.js. I've led the conception and deployment of ML Weather forecasting app, achieving completed 2 months ahead of schedule. Simultaneously, I developed Scalable Blog platform, which increased system efficiency by 40%. I also spearheaded IoT sensor network, resulting in grew user base to 50,000 active users. My commitment to continuous learning has made me proficient in Tableau. I'm recognized for my ability to translate complex requirements into elegant solutions. My career objective is to become a Tech Lead, where I can scale my impact and mentor emerging talent.",4,5,5,4,4.5,Excellent
10,"I'm Anjali, a seasoned Senior Business Analyst based in Kolkata. I have comprehensive expertise in Data Analysis, Tableau, Node.js, and Scala. I've successfully delivered Task management tool, achieving improved user experience significantly with 98% satisfaction, and Restaurant management system, which implemented enterprise-grade security standards. My contribution to Music streaming platform resulted in grew user base to 50,000 active users. My technical arsenal includes Statistics, and I'm known for my ability to mentor and elevate team performance. I'm pursuing a Machine Learning Lead position to expand my leadership impact and drive transformative change.",5,5,4,4,4.6,Excellent
11,"I'm Aryan, currently Mechanical Engineering student in Hyderabad. My professional expertise encompasses Big Data, Node.js, Android Development, and Excel. I've led the conception and deployment of Music streaming platform, achieving implemented enterprise-grade security standards. Simultaneously, I developed Real-time Chat application, which achieved 98% accuracy in predictions. I also spearheaded Recommendation engine, resulting in mentored 5+ junior developers. My commitment to continuous learning has made me proficient in Java. I'm recognized for my ability to translate complex requirements into elegant solutions. My career objective is to become a Senior Software Engineer, where I can scale my impact and mentor emerging talent.",5,5,4,4,4.6,Excellent
12,"I'm Harsh, a B.Tech in Mechanical Engineering based in Mumbai. My skillset includes Statistics, SQL, Big Data, and Kubernetes. I've successfully led Web scraping tool, resulting in handled 100,000 daily active users, and IoT sensor network, which grew user base to 50,000 active users. My work on Enterprise E-commerce platform delivered scaled system to handle 10x traffic. I'm additionally skilled in Project Management and possess a systematic approach to complex problem-solving. I'm driven to evolve into a CTO role, where I can apply my depth of experience to drive product excellence and organizational growth.",4,5,5,5,4.65,Excellent
13,"I'm Rahul, a Quality Assurance Lead based in Ahmedabad. My expertise spans Agile, Git, JavaScript, and Java. I've spearheaded three major initiatives: ML classification model, which received 5-star reviews from stakeholders, Hospital management system, delivering received recognition and promotion, and Mobile tracking application which achieved 98% accuracy in predictions. Each project enhanced my capabilities and contributed to organizational growth. I'm skilled in AWS and possess deep knowledge of industry best practices. My strategic approach to problem-solving has consistently driven measurable outcomes. I'm actively pursuing a role as a CTO, where I can leverage my experience to build exceptional products and lead transformative initiatives.",4,5,5,5,4.65,Excellent
