id,answer,content_score,relevance_score,vocabulary_score,structure_score,overall_score,label
1,Myself Priya.,1,1,1,1,1.0,Poor
2,I am Rahul. I am from Bihar.,1,1,2,1,1.25,Poor
3,I don't know what to say.,1,1,1,1,1.0,Poor
4,I like playing cricket and watching movies on weekends.,1,2,2,1,1.5,Poor
5,My name is Amit Kumar. I have done 12th.,1,2,2,1,1.5,Poor
6,I am a hardworking person.,1,2,2,1,1.5,Poor
7,I am Sneha. I completed my graduation. That's it.,1,2,2,1,1.5,Poor
8,Sir I am very interested in this job.,1,2,2,1,1.5,Poor
9,I am Karan. I am 22 years old. I like computers.,1,2,2,1,1.5,Poor
10,Myself Ankit Sharma from Jaipur.,1,1,1,1,1.0,Poor
11,I have done B.Tech. I want job.,1,2,1,1,1.25,Poor
12,I am a good team player and hardworking.,1,2,2,1,1.5,Poor
13,I don't have much experience but I am a fast learner.,1,2,2,1,1.5,Poor
14,I completed engineering last year. My hobbies are listening music and cooking.,1,2,2,1,1.5,Poor
15,My name is Deepak. I studied computer. I am looking for opportunity.,1,2,2,1,1.5,Poor
16,I am fresher. I want to work in good company.,1,2,2,1,1.5,Poor
17,Hmm... I am Pooja. I have done MBA. I like to work.,1,2,2,1,1.5,Poor
18,I am very passionate and dedicated towards my work.,1,2,2,1,1.5,Poor
19,I have done diploma in mechanical. My father is also engineer.,1,1,2,1,1.25,Poor
20,My name is Ravi. I am from small village in UP. I want to grow.,1,1,2,1,1.25,Poor
21,I am Neha. I studied till graduation. I have no work experience.,1,2,2,1,1.5,Poor
22,I enjoy solving problems. I am good student.,1,2,2,1,1.5,Poor
23,I completed BCA from local college. Not much to say about myself.,1,2,2,1,1.5,Poor
24,I am Mohit. Sorry I am little nervous. I did civil engineering.,1,2,2,1,1.5,Poor
25,I have some skills in computer. I know little bit of everything.,1,2,2,1,1.5,Poor
26,My name is Suresh.,1,1,1,1,1.0,Poor
27,I am from Chennai.,1,1,1,1,1.0,Poor
28,Myself Preeti Sharma.,1,1,1,1,1.0,Poor
29,I like to eat and sleep.,1,1,2,1,1.25,Poor
30,I have done some studies.,1,2,1,1,1.25,Poor
31,I am very good person.,1,2,2,1,1.5,Poor
32,I don't know how to answer this.,1,1,2,1,1.25,Poor
33,I enjoy spending time with friends.,1,2,2,1,1.5,Poor
34,Myself Ganesh. I am 24.,1,1,1,1,1.0,Poor
35,I have studied. I want job now.,1,2,1,1,1.25,Poor
36,I am Rekha. Nice to meet you.,1,1,2,1,1.25,Poor
37,I am hardworking and punctual.,1,2,2,1,1.5,Poor
38,I did my schooling from Delhi.,1,1,2,1,1.25,Poor
39,I love technology and gadgets.,1,2,2,1,1.5,Poor
40,I am Mohan. I am looking for work.,1,2,2,1,1.5,Poor
41,I have completed my degree.,1,2,1,1,1.25,Poor
42,I am a simple person with big dreams.,1,2,2,1,1.5,Poor
43,Myself Lakshmi from Hyderabad.,1,1,1,1,1.0,Poor
44,I passed my exam last year.,1,2,1,1,1.25,Poor
45,I am interested in this field.,1,2,2,1,1.5,Poor
46,I have no experience but I will work hard.,1,2,2,1,1.5,Poor
47,I am Sanjay. Thank you for this opportunity.,1,1,2,1,1.25,Poor
48,My hobbies are reading and cooking.,1,2,2,1,1.5,Poor
49,I want to do something in life.,1,2,1,1,1.25,Poor
50,I am nervous. Sorry.,1,1,1,1,1.0,Poor
51,I studied something related to computers.,1,2,2,1,1.5,Poor
52,Myself Ramesh Kumar.,1,1,1,1,1.0,Poor
53,I like to learn new things.,1,2,2,1,1.5,Poor
54,I have done graduation. I am available immediately.,1,2,1,1,1.25,Poor
55,I am very passionate about work.,1,2,2,1,1.5,Poor
56,I am Farhan. I did college.,1,1,2,1,1.25,Poor
57,My family is from Rajasthan.,1,1,1,1,1.0,Poor
58,I have skills. I can work anywhere.,1,2,2,1,1.5,Poor
59,I don't have much to say about myself.,1,1,2,1,1.25,Poor
60,I am a motivated individual.,1,2,2,1,1.5,Poor
61,I am Nisha. I finished my studies recently.,1,2,2,1,1.5,Poor
62,I like computers and mobiles.,1,2,2,1,1.5,Poor
63,I am very eager to work in your company.,1,2,2,1,1.5,Poor
64,Myself Vijay. I am fresher.,1,1,1,1,1.0,Poor
65,I passed BE this year.,1,2,1,1,1.25,Poor
66,I am good in studies and sports.,1,2,2,1,1.5,Poor
67,I am Chitra. I completed my degree last month.,1,2,2,1,1.5,Poor
68,I want to grow in my career.,1,2,2,1,1.5,Poor
69,I have done some online courses.,1,2,2,1,1.5,Poor
70,I am shy but I work sincerely.,1,2,2,1,1.5,Poor
71,Myself Arvind from Pune.,1,1,1,1,1.0,Poor
72,I am a team player.,1,2,2,1,1.5,Poor
73,I finished 12th with good marks.,1,2,1,1,1.25,Poor
74,I am Bindiya. I did graduation.,1,2,1,1,1.25,Poor
75,I can handle pressure situations.,1,2,2,1,1.5,Poor
76,I am Sonu. I have done diploma.,1,2,1,1,1.25,Poor
77,I like football and cricket.,1,2,2,1,1.5,Poor
78,I have two sisters and one brother.,1,1,1,1,1.0,Poor
79,I am very friendly in nature.,1,2,2,1,1.5,Poor
80,I have completed my ITI.,1,2,1,1,1.25,Poor
81,I am Madhu. I am from Bangalore.,1,1,1,1,1.0,Poor
82,I want to do job in big company.,1,2,1,1,1.25,Poor
83,I have some computer knowledge.,1,2,2,1,1.5,Poor
84,I am energetic and enthusiastic.,1,2,2,1,1.5,Poor
85,I passed my graduation with 60 percent.,1,2,1,1,1.25,Poor
86,I am Tarun. I like working with people.,1,2,2,1,1.5,Poor
87,I have done BCA. I want IT job.,1,2,1,1,1.25,Poor
88,Myself Swati. I am here for interview.,1,1,1,1,1.0,Poor
89,I have interest in software.,1,2,2,1,1.5,Poor
90,I am an honest and sincere person.,1,2,2,1,1.5,Poor
91,I did my plus two in science stream.,1,2,1,1,1.25,Poor
92,I am Nilesh. Not much to tell.,1,1,1,1,1.0,Poor
93,I have done graduation in arts.,1,2,1,1,1.25,Poor
94,I want to contribute to the organization.,1,2,2,1,1.5,Poor
95,I enjoy watching cricket matches.,1,2,2,1,1.5,Poor
96,Myself Babita. I completed hotel management.,1,2,1,1,1.25,Poor
97,I am from small town. First interview.,1,1,2,1,1.25,Poor
98,I have knowledge about many things.,1,2,1,1,1.25,Poor
99,I am dedicated to my work.,1,2,2,1,1.5,Poor
100,I am Sushant. I studied commerce.,1,2,1,1,1.25,Poor
101,I like meeting new people and learning.,1,2,2,1,1.5,Poor
102,I completed polytechnic last year.,1,2,1,1,1.25,Poor
103,I am positive thinker and fast learner.,1,2,2,1,1.5,Poor
104,Myself Dhruv. I have done graduation.,1,2,1,1,1.25,Poor
105,I love music and dancing in free time.,1,2,2,1,1.5,Poor
106,I have worked part time in shop.,1,2,2,1,1.5,Poor
107,I am Jyoti. I finished nursing diploma.,1,2,1,1,1.25,Poor
108,I have little bit knowledge of Excel.,1,2,2,1,1.5,Poor
109,I am self motivated person.,1,2,2,1,1.5,Poor
110,Myself Kishan from Gujarat.,1,1,1,1,1.0,Poor
111,I have done my schooling and college.,1,2,1,1,1.25,Poor
112,I am Poornima. I like computers.,1,2,2,1,1.5,Poor
113,I have some experience in sales.,1,2,2,1,1.5,Poor
114,I want to learn and grow.,1,2,2,1,1.5,Poor
115,I am Hitesh. First time giving interview.,1,2,1,1,1.25,Poor
116,I completed my degree two years back.,1,2,1,1,1.25,Poor
117,I am interested in software development.,1,2,2,1,1.5,Poor
118,I have basic computer skills.,1,2,2,1,1.5,Poor
119,Myself Alka. I am from Uttar Pradesh.,1,1,1,1,1.0,Poor
120,I enjoy working in team environment.,1,2,2,1,1.5,Poor
121,I did B.Sc last year. Looking for job.,1,2,1,1,1.25,Poor
122,I am Manoj. I have done some courses.,1,2,2,1,1.5,Poor
123,I don't have experience but I am willing.,1,2,2,1,1.5,Poor
124,I am Shilpa. I finished my BE.,1,2,1,1,1.25,Poor
125,I have interest in this company.,1,2,2,1,1.5,Poor
126,My name is Deepak. I am job seeker.,1,2,1,1,1.25,Poor
127,I enjoy reading novels in my free time.,1,2,2,1,1.5,Poor
128,Myself Girish. I passed this year.,1,2,1,1,1.25,Poor
129,I am simple and down to earth person.,1,2,2,1,1.5,Poor
130,I have done higher secondary.,1,2,1,1,1.25,Poor
131,I am Sangeeta. I like helping others.,1,2,2,1,1.5,Poor
132,I can do any work assigned to me.,1,2,2,1,1.5,Poor
133,I am from middle class family. I work hard.,1,2,2,1,1.5,Poor
134,I completed MBA. I want marketing job.,1,2,1,1,1.25,Poor
135,Myself Pratap. Not much experience.,1,1,1,1,1.0,Poor
136,I did my studies from government college.,1,2,1,1,1.25,Poor
137,I am Hema. I just completed my course.,1,2,2,1,1.5,Poor
138,I have hobby of watching documentaries.,1,2,2,1,1.5,Poor
139,I am looking for an opportunity to work.,1,2,2,1,1.5,Poor
140,I have strong will power.,1,2,2,1,1.5,Poor
141,Myself Sunil from Madhya Pradesh.,1,1,1,1,1.0,Poor
142,I am Anita. I did BSc Maths.,1,2,1,1,1.25,Poor
143,I want to use my skills somewhere.,1,2,2,1,1.5,Poor
144,I have cleared all my backlogs.,1,2,1,1,1.25,Poor
145,I am good at time management.,1,2,2,1,1.5,Poor
146,I am Rohit. I like problem solving.,1,2,2,1,1.5,Poor
147,I completed my degree with second class.,1,2,1,1,1.25,Poor
148,Myself Padma. I am quiet person.,1,1,2,1,1.25,Poor
149,I have done civil engineering diploma.,1,2,1,1,1.25,Poor
150,I am trying to find suitable job.,1,2,2,1,1.5,Poor
151,I am Dhanraj. I want technical job.,1,2,1,1,1.25,Poor
152,I have basic knowledge of programming.,1,2,2,1,1.5,Poor
153,I am responsible and reliable person.,1,2,2,1,1.5,Poor
154,I did my course from private institute.,1,2,1,1,1.25,Poor
155,Myself Leela. I enjoy my work.,1,2,2,1,1.5,Poor
156,I have completed my engineering degree.,1,2,1,1,1.25,Poor
157,I am good with numbers and data.,1,2,2,1,1.5,Poor
158,I am Santosh. I passed diploma this year.,1,2,1,1,1.25,Poor
159,I have interest in learning new skills.,1,2,2,1,1.5,Poor
160,I am calm and focused in my work.,1,2,2,1,1.5,Poor
161,Myself Rukmini from Tamil Nadu.,1,1,1,1,1.0,Poor
162,I completed my MBA two years ago.,1,2,1,1,1.25,Poor
163,I am Ajay. I have little work experience.,1,2,2,1,1.5,Poor
164,I did computer application course.,1,2,1,1,1.25,Poor
165,I want to prove myself in this field.,1,2,2,1,1.5,Poor
166,I am Tejas. I just finished my studies.,1,2,1,1,1.25,Poor
167,I enjoy cycling and outdoor activities.,1,2,2,1,1.5,Poor
168,I have degree in mechanical engineering.,1,2,1,1,1.25,Poor
169,I am detail oriented and careful worker.,1,2,2,1,1.5,Poor
170,Myself Sulochana. I am commerce student.,1,2,1,1,1.25,Poor
171,I have some familiarity with computers.,1,2,2,1,1.5,Poor
172,I am Praveen. I did my engineering.,1,2,1,1,1.25,Poor
173,I want a stable job with good salary.,1,2,1,1,1.25,Poor
174,I have done tailoring and stitching course.,1,1,2,1,1.25,Poor
175,I am friendly and get along with everyone.,1,2,2,1,1.5,Poor
176,Myself Srinivas from Andhra Pradesh.,1,1,1,1,1.0,Poor
177,I have interest in digital work.,1,2,2,1,1.5,Poor
178,I am Mona. I did BSc IT.,1,2,1,1,1.25,Poor
179,I completed my graduation last semester.,1,2,1,1,1.25,Poor
180,I always give my best in whatever I do.,1,2,2,1,1.5,Poor
181,I am Raghav. I want to do something big.,1,2,2,1,1.5,Poor
182,I like to work on computers.,1,2,2,1,1.5,Poor
183,I have done my diploma in electronics.,1,2,1,1,1.25,Poor
184,Myself Saroja. I completed my studies.,1,2,1,1,1.25,Poor
185,I am very eager to work here.,1,2,2,1,1.5,Poor
186,I am Ratan. I know basic office work.,1,2,2,1,1.5,Poor
187,I have done course in graphic design.,1,2,2,1,1.5,Poor
188,I am quick learner and adaptable.,1,2,2,1,1.5,Poor
189,Myself Chandru. I did engineering.,1,2,1,1,1.25,Poor
190,I have interest in data entry work.,1,2,2,1,1.5,Poor
191,I am Parvati. I finished my schooling.,1,1,1,1,1.0,Poor
192,I have done some freelance work online.,1,2,2,1,1.5,Poor
193,I am Dinesh. I am available for full time.,1,2,1,1,1.25,Poor
194,I don't have much qualification but I try hard.,1,2,2,1,1.5,Poor
195,I am Vimala. I did polytechnic.,1,2,1,1,1.25,Poor
196,I have studied accounts and taxation.,1,2,2,1,1.5,Poor
197,I am Rajendra. I am confident person.,1,2,2,1,1.5,Poor
198,Myself Shanta from West Bengal.,1,1,1,1,1.0,Poor
199,I have done painting and art course.,1,1,2,1,1.25,Poor
200,I am Trilok. I finished my studies last year.,1,2,1,1,1.25,Poor
201,I am willing to relocate for job.,1,2,2,1,1.5,Poor
202,I did BBA with average marks.,1,2,1,1,1.25,Poor
203,Myself Geetha. I passed this year.,1,2,1,1,1.25,Poor
204,I have experience in small business.,1,2,2,1,1.5,Poor
205,I am Naresh. I know Tally software.,1,2,2,1,1.5,Poor
206,I completed my 10th and 12th and degree.,1,2,1,1,1.25,Poor
207,I am interested in accounts work.,1,2,2,1,1.5,Poor
208,Myself Savitri. First interview ever.,1,1,1,1,1.0,Poor
209,I have done vehicle mechanic course.,1,2,1,1,1.25,Poor
210,I am Satish. I work hard always.,1,2,2,1,1.5,Poor
211,I am looking for any decent job.,1,2,1,1,1.25,Poor
212,I have little bit knowledge of HTML.,1,2,2,1,1.5,Poor
213,Myself Basavaraj from Karnataka.,1,1,1,1,1.0,Poor
214,I am Meena. I have done my graduation.,1,2,1,1,1.25,Poor
215,I am goal oriented and focused.,1,2,2,1,1.5,Poor
216,I like photography and videography.,1,2,2,1,1.5,Poor
217,I am Bhushan. I passed diploma recently.,1,2,1,1,1.25,Poor
218,I have studied science in college.,1,2,1,1,1.25,Poor
219,Myself Nalini. I am commerce graduate.,1,2,1,1,1.25,Poor
220,I want to prove myself to my family.,1,2,2,1,1.5,Poor
221,I have interest in fashion designing.,1,2,2,1,1.5,Poor
222,I am Mukesh. I can speak Hindi and English.,1,2,2,1,1.5,Poor
223,I completed my engineering this May.,1,2,1,1,1.25,Poor
224,I am Kamala. I did nursing course.,1,2,1,1,1.25,Poor
225,I don't have formal training but I learn fast.,1,2,2,1,1.5,Poor
226,Myself Ramakrishna. I am from South India.,1,1,1,1,1.0,Poor
227,I am dedicated to whatever task I take.,1,2,2,1,1.5,Poor
228,I have done some Tally and Excel work.,1,2,2,1,1.5,Poor
229,I am Geeta. I know a little typing.,1,2,2,1,1.5,Poor
230,I am open to learning any new skill.,1,2,2,1,1.5,Poor
231,Myself Amarjeet from Punjab.,1,1,1,1,1.0,Poor
232,I have completed B.Sc in physics.,1,2,1,1,1.25,Poor
233,I am Raja. I enjoy working with machines.,1,2,2,1,1.5,Poor
234,I have little experience in field work.,1,2,2,1,1.5,Poor
235,I am very obedient and follow instructions.,1,2,2,1,1.5,Poor
236,Myself Ganga. I did intermediate.,1,1,1,1,1.0,Poor
237,I am Kirti. I passed this year from college.,1,2,1,1,1.25,Poor
238,I have done some work in hotel industry.,1,2,2,1,1.5,Poor
239,I am Bharat. I want to earn and support family.,1,2,2,1,1.5,Poor
240,I have basic English speaking ability.,1,2,2,1,1.5,Poor
241,Myself Subhash. I am ready to work.,1,2,1,1,1.25,Poor
242,I enjoy drawing and sketching.,1,2,2,1,1.5,Poor
243,I am Malati. I did B.Sc Chemistry.,1,2,1,1,1.25,Poor
244,I have no experience. I am fresher only.,1,2,1,1,1.25,Poor
245,I am Nandlal. I want permanent job.,1,2,1,1,1.25,Poor
246,I completed my course from distance education.,1,2,1,1,1.25,Poor
247,I am Shobha. I am mother of two and looking for work.,1,2,2,1,1.5,Poor
248,I have done short term computer course.,1,2,2,1,1.5,Poor
249,Myself Balram. I am always on time.,1,2,2,1,1.5,Poor
250,I am Hemant. I studied till graduation. Not much more.,1,2,2,1,1.5,Poor
251,I am Sumit.,1,2,1,1,1.25,Poor
252,My name is Rohan.,1,2,1,1,1.25,Poor
253,Myself Amit.,1,2,1,1,1.25,Poor
254,I am called Sneha.,1,2,1,1,1.25,Poor
255,Name is Deepak.,1,2,1,1,1.25,Poor
256,I am just a guy named Raj.,1,2,2,1,1.5,Poor
257,Myself Pooja.,1,2,1,1,1.25,Poor
258,I am Karan.,1,2,1,1,1.25,Poor
259,My name is Anjali.,1,2,1,1,1.25,Poor
260,I'm Vikas.,1,2,1,1,1.25,Poor
261,I need money.,1,1,1,1,1.0,Poor
262,Give me this job please.,1,1,2,1,1.25,Poor
263,I am very poor I need job.,1,1,1,1,1.0,Poor
264,Sir please give job.,1,1,1,1,1.0,Poor
265,I want salary.,1,1,1,1,1.0,Poor
266,Just hire me.,1,1,2,1,1.25,Poor
267,I am looking for a job to earn.,1,1,2,1,1.25,Poor
268,Need job urgently.,1,1,1,1,1.0,Poor
269,I will do anything for money.,1,1,2,1,1.25,Poor
270,Please I need work.,1,1,1,1,1.0,Poor
271,I like playing video games.,1,1,2,1,1.25,Poor
272,My hobby is sleeping.,1,1,2,1,1.25,Poor
273,I watch movies a lot.,1,1,2,1,1.25,Poor
274,I play cricket daily.,1,1,2,1,1.25,Poor
275,Listening to music is my hobby.,1,1,2,1,1.25,Poor
276,I like to eat food.,1,1,1,1,1.0,Poor
277,I am a gamer.,1,1,2,1,1.25,Poor
278,I browse instagram.,1,1,2,1,1.25,Poor
279,Hobbies are dancing and singing.,1,1,2,1,1.25,Poor
280,I watch TV.,1,1,1,1,1.0,Poor
281,My father is a farmer.,1,1,2,1,1.25,Poor
282,We are 4 members in my family.,1,1,2,1,1.25,Poor
283,I have two brothers.,1,1,2,1,1.25,Poor
284,My family lives in village.,1,1,2,1,1.25,Poor
285,I live with my parents.,1,1,2,1,1.25,Poor
286,My mother is housewife.,1,1,2,1,1.25,Poor
287,I have a sister.,1,1,2,1,1.25,Poor
288,My dad works in bank.,1,1,2,1,1.25,Poor
289,We have a small house.,1,1,2,1,1.25,Poor
290,I am married and have kids.,1,1,2,1,1.25,Poor
291,I don't know.,1,1,1,1,1.0,Poor
292,What should I say?,1,1,2,1,1.25,Poor
293,I am feeling nervous.,1,1,2,1,1.25,Poor
294,Can I skip this?,1,1,2,1,1.25,Poor
295,Nothing to tell.,1,1,1,1,1.0,Poor
296,I don't have an answer.,1,1,2,1,1.25,Poor
297,"Sorry, I don't know English well.",1,1,1,1,1.0,Poor
298,"Ah, umm, I don't know.",1,1,1,1,1.0,Poor
299,I am not prepared.,1,1,2,1,1.25,Poor
300,My mind is blank.,1,1,2,1,1.25,Poor
301,I am from Mumbai.,1,1,2,1,1.25,Poor
302,I live in Delhi.,1,1,2,1,1.25,Poor
303,I came from Bihar.,1,1,2,1,1.25,Poor
304,My hometown is Jaipur.,1,1,2,1,1.25,Poor
305,I am a local resident.,1,1,2,1,1.25,Poor
306,I stay in a hostel here.,1,1,2,1,1.25,Poor
307,I belong to Punjab.,1,1,2,1,1.25,Poor
308,I shifted to this city recently.,1,1,2,1,1.25,Poor
309,My address is in the resume.,1,1,2,1,1.25,Poor
310,I live near the station.,1,1,2,1,1.25,Poor
311,I am 22 years old.,1,1,2,1,1.25,Poor
312,My age is 25.,1,1,2,1,1.25,Poor
313,I am young.,1,1,1,1,1.0,Poor
314,I was born in 2001.,1,1,2,1,1.25,Poor
315,My height is 5 feet 8 inches.,1,1,2,1,1.25,Poor
316,I am physically fit.,1,1,2,1,1.25,Poor
317,I am a healthy guy.,1,1,2,1,1.25,Poor
318,I turned 20 last week.,1,1,2,1,1.25,Poor
319,I am a bachelor.,1,1,2,1,1.25,Poor
320,I am twenty four.,1,1,2,1,1.25,Poor
321,Myself coming from village side.,1,2,1,1,1.25,Poor
322,I doing college now.,1,2,1,1,1.25,Poor
323,Me is looking job.,1,1,1,1,1.0,Poor
324,I pass exam and want work.,1,2,1,1,1.25,Poor
325,Very good morning myself Ravi.,1,2,1,1,1.25,Poor
326,I is a good boy.,1,1,1,1,1.0,Poor
327,My English not good.,1,1,1,1,1.0,Poor
328,I working hard everyday.,1,1,1,1,1.0,Poor
329,Want job me.,1,1,1,1,1.0,Poor
330,I student.,1,2,1,1,1.25,Poor
331,I like this company office.,1,1,2,1,1.25,Poor
332,It is very hot outside today.,1,1,2,1,1.25,Poor
333,Are we done?,1,1,2,1,1.25,Poor
334,I saw the ad in newspaper.,1,1,2,1,1.25,Poor
335,My friend told me to come.,1,1,2,1,1.25,Poor
336,I have a bike.,1,1,2,1,1.25,Poor
337,I am wearing a blue shirt.,1,1,2,1,1.25,Poor
338,I like your tie.,1,1,2,1,1.25,Poor
339,I took a bus to come here.,1,1,2,1,1.25,Poor
340,Where is the canteen?,1,1,2,1,1.25,Poor
341,I did 10th.,1,2,1,1,1.25,Poor
342,I am 12th pass.,1,2,1,1,1.25,Poor
343,I read in BA.,1,2,1,1,1.25,Poor
344,I failed in college.,1,2,1,1,1.25,Poor
345,I did diploma.,1,2,1,1,1.25,Poor
346,My graduation is done.,1,2,2,1,1.5,Poor
347,I hold a degree.,1,2,2,1,1.5,Poor
348,I went to school.,1,1,2,1,1.25,Poor
349,I am an arts student.,1,2,2,1,1.5,Poor
350,I studied commerce.,1,2,2,1,1.5,Poor
351,I am a nice person.,1,1,2,1,1.25,Poor
352,I am very hardworking.,1,1,2,1,1.25,Poor
353,I am an honest boy.,1,1,2,1,1.25,Poor
