id,answer,content_score,relevance_score,vocabulary_score,structure_score,overall_score,label
1,I am punctual and obedient.,1.0,1.0,1.0,1.0,1.0,Poor
2,I am willing to work hard for you.,1.0,1.0,1.0,1.0,1.0,Poor
3,I am fresher but I will learn fast.,1.0,1.0,2.0,1.0,1.25,Poor
4,I have confidence in myself.,1.0,1.0,1.0,1.0,1.0,Poor
5,Because I am well qualified.,1.0,1.0,1.0,1.0,1.0,Poor
6,I have done my graduation.,1.0,1.0,1.0,1.0,1.0,Poor
7,I am responsible person.,1.0,1.0,1.0,1.0,1.0,Poor
8,Because I can contribute.,1.0,1.0,1.0,1.0,1.0,Poor
9,I am flexible and adaptable.,1.0,1.0,2.0,1.0,1.25,Poor
10,I want to utilize my skills here.,1.0,1.0,1.0,1.0,1.0,Poor
11,I am ready to work in any condition.,1.0,1.0,1.0,1.0,1.0,Poor
12,I am a very hardworking guy.,1.0,1.0,1.0,1.0,1.0,Poor
13,I have done my BE in mechanical.,1.0,1.0,1.0,1.0,1.0,Poor
14,I like challenges.,1.0,1.0,1.0,1.0,1.0,Poor
15,Because I am fit for this job.,1.0,1.0,1.0,1.0,1.0,Poor
16,I have done internship.,1.0,1.0,1.0,1.0,1.0,Poor
17,I can handle pressure well.,1.0,1.0,1.0,1.0,1.0,Poor
18,Because I match your requirements.,1.0,1.0,1.0,1.0,1.0,Poor
19,I am graduate from civil engineering.,1.0,1.0,1.0,1.0,1.0,Poor
20,I will give full effort.,1.0,1.0,1.0,1.0,1.0,Poor
21,I am focused on my work.,1.0,1.0,1.0,1.0,1.0,Poor
22,I am interested in finance domain.,1.0,1.0,1.0,1.0,1.0,Poor
23,Because I am a capable individual.,1.0,1.0,1.0,1.0,1.0,Poor
24,I think I can fit in your team.,1.0,1.0,1.0,1.0,1.0,Poor
25,I am enthusiastic to join your company.,1.0,1.0,2.0,1.0,1.25,Poor
26,Because I am hardworking and honest.,1.0,1.0,1.0,1.0,1.0,Poor
27,I will do whatever the company needs.,1.0,1.0,1.0,1.0,1.0,Poor
28,I can learn everything given time.,1.0,1.0,1.0,1.0,1.0,Poor
29,I want a chance to prove myself.,1.0,1.0,2.0,1.0,1.25,Poor
30,Because I am loyal to my work.,1.0,1.0,1.0,1.0,1.0,Poor
31,I am fresher from MBA program.,1.0,1.0,1.0,1.0,1.0,Poor
32,I will do my job sincerely.,1.0,1.0,1.0,1.0,1.0,Poor
33,Because I am suitable candidate.,1.0,1.0,1.0,1.0,1.0,Poor
34,I have good communication skills.,1.0,1.0,2.0,1.0,1.25,Poor
35,I am not afraid of hard work.,1.0,1.0,1.0,1.0,1.0,Poor
36,I will give my full dedication.,1.0,1.0,1.0,1.0,1.0,Poor
37,I can work in night shifts also.,1.0,1.0,1.0,1.0,1.0,Poor
38,I am from computer science background.,1.0,1.0,1.0,1.0,1.0,Poor
39,I am positive and goal oriented.,1.0,1.0,2.0,1.0,1.25,Poor
40,I always complete my tasks on time.,1.0,1.0,1.0,1.0,1.0,Poor
41,I am a motivated individual.,1.0,1.0,1.0,1.0,1.0,Poor
42,I have a degree in information technology.,1.0,1.0,1.0,1.0,1.0,Poor
43,I believe in myself.,1.0,1.0,1.0,1.0,1.0,Poor
44,Because I will contribute to team success.,1.0,1.0,1.0,1.0,1.0,Poor
45,I am humble and eager to work.,1.0,1.0,1.0,1.0,1.0,Poor
46,I am ready to face any challenge.,1.0,1.0,1.0,1.0,1.0,Poor
47,I always give my best effort.,1.0,1.0,1.0,1.0,1.0,Poor
48,I have completed my engineering degree.,1.0,1.0,1.0,1.0,1.0,Poor
49,I will grow with this organization.,1.0,1.0,1.0,1.0,1.0,Poor
50,Because I am disciplined and focused.,1.0,1.0,1.0,1.0,1.0,Poor
51,I am interested in this field.,1.0,1.0,1.0,1.0,1.0,Poor
52,I want to learn and earn.,1.0,1.0,1.0,1.0,1.0,Poor
53,I will always report to work on time.,1.0,1.0,1.0,1.0,1.0,Poor
54,I have a good academic record.,1.0,1.0,1.0,1.0,1.0,Poor
55,I am a simple and sincere worker.,1.0,1.0,1.0,1.0,1.0,Poor
56,Because I am fully committed to my career.,1.0,1.0,1.0,1.0,1.0,Poor
57,I am young and energetic.,1.0,1.0,1.0,1.0,1.0,Poor
58,I have studied hard to be here.,1.0,1.0,1.0,1.0,1.0,Poor
59,I will never let my team down.,1.0,1.0,1.0,1.0,1.0,Poor
60,I have very good work ethic.,1.0,1.0,1.0,1.0,1.0,Poor
61,Because I am qualified for this position.,1.0,1.0,1.0,1.0,1.0,Poor
62,I am a self motivated person.,1.0,1.0,2.0,1.0,1.25,Poor
63,I have done diploma in electronics.,1.0,1.0,1.0,1.0,1.0,Poor
64,I will adapt to your company culture.,1.0,1.0,1.0,1.0,1.0,Poor
65,I am ready to start immediately.,1.0,1.0,1.0,1.0,1.0,Poor
66,I can handle multiple tasks.,1.0,1.0,1.0,1.0,1.0,Poor
67,I am a good observer and fast responder.,1.0,1.0,1.0,1.0,1.0,Poor
68,I am from a good university.,1.0,1.0,1.0,1.0,1.0,Poor
69,I want to build my career here.,1.0,1.0,1.0,1.0,1.0,Poor
70,I am very hardworking guy and will give full effort.,1.0,1.0,1.0,1.0,1.0,Poor
71,I have diploma and work experience.,1.0,1.0,1.0,1.0,1.0,Poor
72,Because I have good marks in college.,1.0,1.0,1.0,1.0,1.0,Poor
73,I like to work in teams.,1.0,1.0,2.0,1.0,1.25,Poor
74,I am a responsible and serious person.,1.0,1.0,1.0,1.0,1.0,Poor
75,I have leadership qualities.,1.0,1.0,1.0,1.0,1.0,Poor
76,Because I will be asset to company.,1.0,1.0,1.0,1.0,1.0,Poor
77,I always complete work before deadline.,1.0,1.0,1.0,1.0,1.0,Poor
78,I have BCom degree.,1.0,1.0,1.0,1.0,1.0,Poor
79,I believe in my abilities.,1.0,1.0,1.0,1.0,1.0,Poor
80,I have no experience but I learn fast.,1.0,1.0,2.0,1.0,1.25,Poor
81,I have a positive attitude towards everything.,1.0,1.0,1.0,1.0,1.0,Poor
82,I will handle all responsibilities given to me.,1.0,1.0,1.0,1.0,1.0,Poor
83,I come from a good family background.,1.0,1.0,1.0,1.0,1.0,Poor
84,I want to make my parents proud.,1.0,1.0,1.0,1.0,1.0,Poor
85,Because I am a sincere student.,1.0,1.0,1.0,1.0,1.0,Poor
86,I can do this job better than others.,1.0,1.0,1.0,1.0,1.0,Poor
87,I am very interested and motivated.,1.0,1.0,1.0,1.0,1.0,Poor
88,Because I will put in 100 percent.,1.0,1.0,1.0,1.0,1.0,Poor
89,I have basic computer knowledge.,1.0,1.0,1.0,1.0,1.0,Poor
90,I am a dedicated worker always.,1.0,1.0,1.0,1.0,1.0,Poor
91,Because I have passion for this work.,1.0,1.0,1.0,1.0,1.0,Poor
92,I have scored well in my exams.,1.0,1.0,1.0,1.0,1.0,Poor
93,I will follow all company rules and regulations.,1.0,1.0,1.0,1.0,1.0,Poor
94,I have done many online certifications.,1.0,1.0,1.0,1.0,1.0,Poor
95,I am very enthusiastic person.,1.0,1.0,2.0,1.0,1.25,Poor
96,Because I want to be part of your company.,1.0,1.0,1.0,1.0,1.0,Poor
97,I will work overtime if required.,1.0,1.0,1.0,1.0,1.0,Poor
98,I have done my schooling from good school.,1.0,1.0,1.0,1.0,1.0,Poor
99,I have a strong desire to succeed.,1.0,1.0,1.0,1.0,1.0,Poor
100,I am good at my academics and I want job.,1.0,1.0,1.0,1.0,1.0,Poor
101,I really need this job and I will try my best.,1.0,1.0,1.0,2.0,1.15,Poor
102,Honestly I don't have much experience but I am patient.,1.0,1.0,2.0,2.0,1.4,Poor
103,I am cooperative and I always complete my work on time.,1.0,1.0,1.0,1.0,1.0,Poor
